WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Estimates Start After
218,BOL,NGDPDPC,Bolivia,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",695.535,615.66,668.55,619.896,631.152,668.921,640.939,683.624,712.146,715.525,723.42,777.891,804.735,795.05,804.712,885.679,955.574,1005.873,1057.72,1010.58,1005.409,959.844,914.958,918.468,979.59,1049.064,1240.94,1399.8,1749.2,1789.604,1994.911,2394.789,2664.571,2920.52,3096.838,3050.646,3094.991,3368.756,3565.498,3566.416,3321.917,3618.176,3870.286,4123.896,4361.499,4612.791,2017
963,BIH,NGDPDPC,Bosnia and Herzegovina,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,952.331,1225.456,1415.096,1540.514,1480.624,1540.266,1785.289,2254.449,2699.054,2903.602,3306.785,4073.011,4984.537,4711.119,4633.861,5089.853,4773.164,5125.604,5319.317,4727.261,4994.065,5392.368,6073.932,6015.164,5761.705,6536.318,6963.608,7354.982,7782.401,8254.54,2018
616,BWA,NGDPDPC,Botswana,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1199.223,1039.432,1057.51,1126.868,1079.237,968.951,1267.145,1915.113,2398.684,2584.231,2750.806,2673.588,2684.209,2629.778,2755.722,2984.191,3006.151,3025.699,2841.934,3173.687,3301.212,3090.261,3017.716,4119.412,4840.806,5338.237,5352.865,5676.255,5641.182,5183.686,6374.994,7503.961,7710.774,7007.258,7497.688,6538.621,6958.351,7585.492,7996.964,7772.67,6557.505,7035.842,7747.798,8264.416,8658.298,9095.424,2017
223,BRA,NGDPDPC,Brazil,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1229.883,1382.548,1446.228,1134.932,1105.852,1719.515,1955.069,2087.445,2289.424,3087.928,3106.116,2677.837,2523.736,2787.164,3495.239,4851.99,5204.574,5321.137,5123.549,3501.438,3772.05,3177.94,2856.026,3089.141,3660.02,4819.872,5921.179,7390.653,8878.359,8649.578,11333.023,13295.899,12424.946,12358.342,12175.681,8846.478,8757.304,9974.814,9043.237,8751.381,6450.451,6728.166,7299.091,7736.761,8252.807,8690.04,2019
516,BRN,NGDPDPC,Brunei Darussalam,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,19916.361,11908.978,13239.407,12202.354,13414.336,15373.583,15723.283,17330.999,16611.619,16089.632,18233.963,19221.085,19060.145,14479.973,16060.902,20445.931,18621.101,18785.868,20755.774,24217.728,29420.373,34690.298,36302.79,42470.561,31341.495,35437.219,47092.296,47772.207,44860.428,41947.16,31355.736,27318.052,28236.773,30668.369,29314.112,23116.712,26273.52,27914.259,28983.008,29857.06,30678.49,2019
918,BGR,NGDPDPC,Bulgaria,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",3673.17,3950.158,4108.038,4211.032,4465.3,3820.468,3382.378,3925.983,6432.994,6580.546,2919.771,288.501,1183.133,649.637,1155.775,1958.035,1494.76,1386.469,1854.465,1689.29,1625.323,1797.393,2090.683,2710.576,3370.382,3869.585,4477.025,5811.848,7156.171,6874.85,6710.857,7829.1,7414.598,7672.585,7898.086,7077.437,7572.693,8378.947,9466.393,9772.151,9826.141,11348.852,12276.066,13134.603,13988.912,14856.258,2019
748,BFA,NGDPDPC,Burkina Faso,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",349.672,297.167,270.123,240.72,209.724,225.945,288.783,327.429,352.096,342.864,395.875,389.6,406.069,376.711,220.468,265.238,280.453,258.109,287.604,300.311,255.082,267.099,294.457,374.534,418.187,458.187,473.475,535.126,643.334,623.497,648.365,751.041,758.481,787.482,793.051,653.393,687.48,738.014,820.533,774.695,768.827,850.79,900.035,949.118,997.368,1047.522,2018
618,BDI,NGDPDPC,Burundi,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",232.381,234.94,241.083,247.995,218.999,247.644,253.424,231.932,211.184,213.175,207.113,207.674,187.243,162.572,157.474,167.177,142.588,157.054,141.755,133.412,130.225,127.349,116.392,108.066,122.381,148.71,164.575,170.174,195.79,208.78,231.549,247.097,250.118,267.696,286.373,318.992,294.687,306.103,284.53,269.826,263.674,267.019,269.938,273.184,276.893,281.613,2015
624,CPV,NGDPDPC,Cabo Verde,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",541.435,522.81,517.666,499.536,466.312,476.329,645.817,783.24,861.862,853.014,957.369,974.873,1062.47,1046.265,1180.486,1378.161,1385.771,1322.336,1376.757,1541.831,1399.088,1387.33,1501.482,1935.48,2188.003,2298.396,2571.824,3110.454,3636.173,3416.272,3312.07,3672.558,3388.779,3557.839,3532.977,2996.379,3082.209,3239.039,3616.403,3601.683,3358.329,3675.173,3885.238,4132.536,4396.569,4690.873,2018
522,KHM,NGDPDPC,Cambodia,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,25.707,17.116,32.608,39.704,99.833,215.671,252.491,242.479,265.056,319.537,316.188,302.166,267.864,293.699,299.982,320.046,337.501,360.659,405.629,470.683,536.151,627.78,741.855,734.655,781.912,877.635,951.077,1013.438,1093.799,1165.06,1270.976,1385.927,1504.264,1620.468,1571.92,1680.019,1803.114,1937.863,2083.746,2233.428,2018
